LAFB-1||party of Ku Klux Klan Riders Gallop to our home in Omaha Nebraska
LAFB-1843||the line moved the law pretty soon strip to my shorts I was making my eager to join comments in the medical examination rooms and everybody in the white coats that I saw
LAFB-1844||had 4f in his eyes I stayed in the line longer than I expected before they siphoned be off
LAFB-1845||one of the white coats accompanied me around the Turning hallway
LAFB-1846||I knew we were on the way to a headshrinker the Army psychiatrist
LAFB-1847||the receptionist there was a negro nurse I remember she was in her early twenties and not bad to look at
LAFB-1849||you couldn't read the Negro press for the big pictures of Smaug black firsts
LAFB-1850||somebody was inside with the psychiatrist I didn't even have to put on any act for this black girl she was already sick of me
LAFB-1851||when finally abuzz came at her desk she didn't send me she went in
LAFB-1852||I knew what she was doing she was going to make clear in advance what she thought of me
LAFB-1853||this is still one of the black man's big troubles today
LAFB-1854||so many of these so-called upper-class Negroes are so busy trying to impress on the white man that they are different from those others that they can't see they are only helping the white man to keep his low opinion of all Negroes
LAFB-1855||and then with her prestige in the clear she came out and nodded to me to go in
LAFB-1856||I must say this for that psychiatrist he tried to be objective and professional in his manner
LAFB-1857||he sat there and doodled with his blue pencil on a tablet listening to me Speidel to him for three or four minutes before he got to word in
LAFB-1858||his tack was quiet questions to get it why I was so anxious I didn't rush
LAFB-1859||I circled in hedge watching him closely to let him think he was pulling what he wanted out of me
LAFB-1860||I kept jerking around backward as though somebody might be listening
LAFB-1861||I knew I was going to send him back to the books to figure out what kind of case I was
LAFB-1862||suddenly I sprang up and peeped under both doors the one-eyed entered and another that probably was a closet and then I bent them whispered fast in his ear
LAFB-1863||Daddy-o now you and me we're from up North here so don't you tell nobody I want to get sent down south organized them niggars soldiers you did steal us some guns and kill us some crackers
LAFB-1864||that psychiatrist blue pencil dropped and his professional manner fell off and all directions
LAFB-1865||he stared at me as if I were a snake's egg hatching fumbling for his red pencil I knew I had him
LAFB-1866||I was going back out past Miss first when he said that will be all
LAFB-1867||a 4-f card came to me in the mail and I never heard from the Army anymore and never bothered to ask why I was rejected
LAFB-1869||negro railroad men waited for their trains in their big locker room on the lower level of Grand Central Station
LAFB-1870||big Blackjack and poker games went on in there around the clock
LAFB-1871||sometimes $500 would be on the table
LAFB-1872||one day in a blackjack game and old cook who was dealing the cards tried to be slick and I had to drop my pistol in his face
LAFB-1873||the next time I went into one of those games intuition told me to stick my gun under my belt right down the middle of my back
LAFB-1874||sure enough someone it squealed
LAFB-1875||two big beefy faced Irish cop came in
LAFB-1876||they frisked me and they missed my gun where they hadn't expected
LAFB-1877||the cops told me never again to be caught in Grand Central Station unless I had a ticket to ride somewhere
LAFB-1878||and I knew that by the next day every railroads personnel office would have a black ball on me so I never tried to get another railroad job
LAFB-1879||there I was back in Harlem streets among all the rest of the hustlers I couldn't sell reefers the dope Squad detectives were too familiar with me I was a true Hustler uneducated unskilled at anyting honorable and I considered myself nervy
LAFB-1880||and cunning enough to live by my wits exploiting any prey that presented itself I would risk just about anything
LAFB-1881||right now in every Big City ghetto tens of thousands of yesterday's and today's school dropouts are keeping Body and Soul together by some form of hustling in the same way I did
LAFB-1882||and they inevitably move into more and more worse and worse illegality and immorality
LAFB-1883||full-time Hustlers never can relax to appraise what they are doing and where they are bound
LAFB-1885||during the next six to eight months I pulled my first robberies and stick ups only small ones always in other nearby cities and I got a way
LAFB-1886||as the pros did I too would keep myself to pull these jobs by my first use of harddope I began with Sammy's recommendations sniffing cocaine
LAFB-1887||normally now for Street where I might call it I carried a hardly noticeable little flat blue steel 25 automatic but for working
LAFB-1888||I carried a 32 or 38 or 45
LAFB-1889||I saw how when the eyes stared at the big black hole the faces fell slacking the mouth sagged open and when I spoke the people seem to hear as though they were far away and they would do whatever I ask
LAFB-1890||between jobs staying high on narcotics kept me from getting nervous still upon sudden impulses just to play safe
LAFB-1891||I would have broccoli move from one to another 15 to $20 a week room always in my favorite one
LAFB-1892||hundred 47th 150th Street area just flanking Sugar Hill
LAFB-1893||once on a job with Sammy we had a pretty close call someone must have seen us we were making our getaway running when we heard the siren instantly we slowed to walking
LAFB-1894||as a police car screeched to a stop we stepped out into the street meeting it hailing it to ask for directions
LAFB-1895||they must have thought we were about to give them some information they just cursed us and raced on again it didn't cross the white men's Minds that a trick like that might be pulled on them by Negroes
LAFB-1896||the suits that I wore the finest I bought hot for about 35 to $50
LAFB-1897||I made it my rule never to go after more than I needed to live on
LAFB-1898||any experienced Housley will tell you that getting greedy is the quickest road to prison
LAFB-1899||I kept taste in my head vulnerable places and situations and I would perform the next job
LAFB-1900||only when my bankroll in my pocket began to get too low
LAFB-1901||some weeks I bet large amounts on the numbers
LAFB-1902||I still played with the same Runner with whom I'd started and Smalls Paradise
LAFB-1903||laying my hunches many a day I'd have up to $40 on two numbers hoping for that fabulous 602 one payoff
LAFB-1904||but I never did hit a big number full board
LAFB-1905||there's no telling what I might have done if I'd landed $10,000 or $12,000 at one time
LAFB-1906||of course once in awhile I hit a small combination figure
LAFB-1907||sometimes flush like that I'd telephone Sophia to come over from Boston for a couple of days
LAFB-1908||I went to the movies a lot again and I never miss my musician friends whenever they were playing either in Harlem downtown at the big theaters or on 52nd Street
LAFB-1909||Reginald and I got very close the next time his ship came back into New York
LAFB-1910||we discussed our family and what is she
LAFB-1911||it was that our book-loving oldest brother Wilfred had never had the chance to go to some of those big universities where he would have gone far
LAFB-1912||and we exchanged thought we had never shared with anyone
LAFB-1913||Reginald in his quiet way was a mad fan of musicians and music
LAFB-1914||when his ship sailed one morning without him a principal reason was that I had thoroughly exposed him to the exciting musical world
LAFB-1915||we had wild X backstage with the musicians when they were playing the Roxy or the Paramount
LAFB-1916||after selling reefers with the bands as they travel I was known to almost every popular Negro musician around New York in 1944 or 1945
LAFB-1917||Reginald and I went to the Savoy Ballroom the Apollo Theater the Braddock Hotel bar the night clubs and speakeasies wherever Negroes played music
LAFB-1918||the great lady day Billie Holiday hugged him and called him baby brother
LAFB-1919||Reginald shared tens of thousands of negroes feelings that The Living End of the big bands was Lionel Hampton
LAFB-1920||I was very close to many of the men and a band I introduced Reginald to them and also to Hampton self and hats wife and business manager Gladys Hampton
LAFB-1921||one of this world's sweetest people is Hamp
LAFB-1922||anyone who knows him will tell you that he'd often do the most generous things or people he barely knew
LAFB-1923||as much money as happy as made and still makes he would be broke today if his money in his business weren't handled by Gladys who is one of the brainiest women I ever met
LAFB-1924||the Apollo Theater Zona Frank shipment could tell you
LAFB-1925||he generally signed bands to play for a set weekly amount but I know that once during those days Gladys Hampton instead of range the deal for hams band to play for a cut of the gate
LAFB-1926||then the usual number of shows was doubled up if I'm not mistaken eight shows a day instead of the usual 4 and hams pulling power cleaned up
LAFB-1927||Gladys Hampton used to talk to me a lot and she tried to give me good advice come down
LAFB-1928||Gladys saw how Wild I was she saw me headed daughter bad end
LAFB-1929||one of the things I liked about Reginald was that when I left him to go away working Reginald to ask me no questions
LAFB-1930||after he came to Harlem I went on more jobs than usual
LAFB-1931||I guess that one influence me to get my first actual apartment with my not wanting Reginald to be knocking around Harlem without anywhere to call home
LAFB-1933||with the apartment as our headquarters I gradually got Reginald introduced around to Creole bills and other Harlem after hours spots
LAFB-1934||about 2 every morning as the downtown white night clubs closed Reginald and I would stand around in front of this or that Harlem after-hours place and I've School into what was happening
LAFB-1935||especially after the night clubs downtown closed the taxis in Black limousines would be driving Uptown bringing those white people who never could get enough of negro soul
LAFB-1937||inside every after-hours spot the smoke would hurt your eyes for white people to every negro would be in their drinking whiskey from coffee cups and eating fried chicken
LAFB-1938||the generally flushed face white men in their makeup mask glitter
LAFB-1939||God women will be pounding each other's backs and uproariously laughing and applauding the music
LAFB-1940||a lot of the wife's drunk would go staggering up to Negroes the waiters the owners or Negroes at tables wringing their hands even trying to hug them you're just as good as I am I want you to know that
LAFB-1941||the most famous places Drew both negro and white celebrities who enjoyed each other
LAFB-1942||a jam-packed 4:30 a.m. crowd at Jimmy's Chicken Shack or Dickie Wells might have such a jam session entertainment is Hazel Scott playing the piano for Billie Holiday singing the blues
LAFB-1943||Jimmy's Chicken Shack incidentally was where once later on I worked briefly as a waiter
LAFB-1944||that's where Red Fox was the dishwasher who kept the kitchen crew in stitches
LAFB-1945||after a while my brother Reginald had to have a Hustle
LAFB-1946||and I gave much thought to what would be for him a good safe Hustle
LAFB-1947||after he'd learned his own way around it would be up to him to take risks for himself
LAFB-1948||if you wanted to make more inquicker money the hustle I got Reginald into
LAFB-1949||really was very simple it utilize the psychology of the ghetto jungle
LAFB-1950||downtown he paid the $2 or whatever it was for a regular City Peddler's license
LAFB-1951||then I took him to a manufacturer's Outlet where we bought our supply of cheap imperfect s shirts underwear cheap rings watches all kinds of quick sale items
LAFB-1952||watching me work this awful back in Harlem Reginald's quickly caught on how to go into barber shops Beauty parlors and bars acting very nervous as he let the customers peep into his small valise of loot
LAFB-1953||with so many things around anxious to get rid of stolen good quality merchandise cheaply many Harlem I purely because of this conditioning jumped to pay hot
LAFB-1954||prices for inferior good to sail was perfectly legitimate
LAFB-1955||it never took long to get rid of a valise fo4 at least twice what it is cost and if any cop stop Reginald he had in his pocket both the Peddler's license and the manufacturers Outlet bills of sale
LAFB-1956||Reginald only had to be certain that none of the customers to whom he sold ever saw that he was legitimate
LAFB-1957||I assumed that Reginald like most of the Negroes I knew would go for a white one
LAFB-1958||I point out negro happy white women to him and explain that a negro with any brains could wrap these women around his fingers
LAFB-1959||but I have to say this for Reginald he never liked white women
LAFB-1960||I remember the one time he met Sophia he was so cool it upset Sophia and it tickled me
LAFB-1961||Reginald got himself a black woman I guess you was pushing through
LAFB-1962||and Old Settlers as we called them back in those days
LAFB-1963||she was a waitress and an exclusive restaurant downtown
LAFB-1964||she lavished on Reginald everything she had
LAFB-1965||she was so happy to get a young man I mean she bought him clothes cooked and wash for him and everything as though he were a baby
LAFB-1966||that was just another example of why my respect for my younger brother kept increasing
LAFB-1967||Reginald showed in often surprising way more sense than a lot of working Hustler twice his age
LAFB-1968||Reginald n was only 16 but a six footer he looked and acted much older than his years
LAFB-1969||all through the war of the Harlem racial picture never was too bright
LAFB-1970||tension built to a pretty high-pitch Old-Timers told me that Harlem had never been the same since the 1935 Riot when millions of dollars worth of damage was done by thousands of negroes
LAFB-1971||furiated chiefly by the white merchants in Harlem refusing to hire a negro even as Ben stores raped in Harlem's money
LAFB-1972||during World War II Marilyn Guardia officially close the Savoy Ballroom
LAFB-1973||Harlem said the real reason was to stop Negroes from dancing with white women Harlem said that no one dragged the white women in there
LAFB-1975||City Hall kept the Savoy closed for a long time
LAFB-1976||it was just another one of those liberal North actions that didn't help Harlem to love the white man any
LAFB-1977||finally rumor flashed that in the Braddock Hotel
LAFB-1978||white cops had shot a Negro Soldier
LAFB-1979||I was walking down Saint Nicholas Avenue I saw all of these Negroes hollering and running North from 125th Street
LAFB-1980||some of them would load it down with armfuls of stuff
LAFB-1981||I remember it was the bandleader Fletcher Henderson's nephew shorty Henderson who told me what it happened
LAFB-1982||Negroes was smashing store windows and taking everything they could grab and carry
LAFB-1983||Furniture food Jewelry close whiskey within an hour every New York City Cop seem to be in Harlem
LAFB-1985||just recently I ran into shorty Henderson on 7th Avenue we were laughing about a fellow whom the riot had left
LAFB-1986||the nickname of left feet in a scramble in a woman shoe store somehow he grabbed five shoes all of them four left feet
LAFB-1987||and we left about the scared little Chinese whose restaurant didn't have a hand laid on it because the rioters just about convulsed laughing when they saw the sign the Chinese and hastily stuck on his front door me colored too
LAFB-1988||after the riot things got very tight in the mall
LAFB-1989||it was terrible for The Nightlife people and for those Hustlers whose main income had been the white man's money
LAFB-1990||the 1935 Riot had left only a relative trickle of the money which had poured into Harlem during the 1920s and now this new ride and did even that trick
LAFB-1991||today the white people who visit Harlem and this mostly on weekend nights are hardly more than a few dozen who do the twist the frug the Watusi and all the
LAFB-1992||best of the current dance crazes and Smalls Paradise on now by the great basketball champion Wilt the stilt Chamberlain who draws crowds with his big clean all American athlete image
LAFB-1993||most white people today a physically afraid to come to Harlem and it's for good reasons to even for Negroes Harlem nightlife is about finished
LAFB-1994||most of the Negroes who have money to spend or spending it downtown somewhere in this hypocritical integration in places where previously the police would have been called to haul off any negro insane enough to try and get in
LAFB-1996||those Rich whites could afford it when they used to throw away their money in Harlem but negros
LAFB-1997||afford to be taking that money downtown to the white man
LAFB-1998||Sammy and I on a robbery job got a bad scare a very close call
LAFB-1999||things have grown so tight and Harlem that some hustlers have been forced to go to work
LAFB-2000||even some prostitutes had gotten jobs as domestics and cleaning out Office Buildings at night
LAFB-2001||the pimping was so poor Sammy had gone on the job with me
LAFB-2002||we had selected one of those situations considered impossible
LAFB-2003||but whenever people think that the gods will unconsciously grow gradually more relaxed until sometime those can be the easiest jobs of all
LAFB-2004||but right in the middle of the ACT we had some bad luck a bullet grazed Sammy we just barely escaped
LAFB-2005||Sammy fortunately wasn't really hurt we split up which was always wise to do
LAFB-2006||just before Daybreak I went to Sammy's apartment his newest woman one of those beautiful but hot-headed Spanish Negroes was in there crying and carrying on over Sammy
LAFB-2007||she went for me screaming and clawing she knew I'd been in on it with him
LAFB-2008||I bended or off not able to figure out why Sammy didn't shut her up I did and from the corner of my eye
LAFB-2010||we soon made up on the surface but things never are fully write again
LAFB-2011||anyone you have seen trying to kill you intuition told us that we had better lay low for a good while
LAFB-2012||the worst thing was that we've been seen the police in that nearby Town had surely circulated our general description
LAFB-2013||I just couldn't forget that incident over Sammy's woman
LAFB-2014||I came to rely more and more upon my brother Reginald is the only one in my world I could completely trust
LAFB-2015||Reginald was lazy I discovered that
LAFB-2016||Ed quit his hustle all together but I didn't mind that really because one could be as lazy as he wanted if he would only use his head as Reginald was doing
LAFB-2017||it left my apartment by now he was living off his Old Settlers woman when he was in town
LAFB-2018||I had also taught Reginald how he could work a little while for a railroad then use his identification card to travel for nothing and Reginald love to travel
LAFB-2019||several times you done visiting all around among our brothers and sisters
LAFB-2020||they had now begun to scatter two different cities
LAFB-2021||in Boston Reginald was closer to our sister Mary then to Ella who have been my favorite most Reginald and Mary will quiet types and Ella and I were extroverts and shorty in Boston had given my brother a royal time
LAFB-2022||because of my reputation it was easy for me to get into the numbers racket
LAFB-2023||that was probably Harlem only hustle which hadn't slumped in business
LAFB-2024||in return for a favor to some white mobster my new boss and his wife are just been given a six-month numbers banking privilege for the Bronx railroad area called Mott Haven yards
LAFB-2025||the white Mobsters had the numbers racket split into specific areas a designated area would be assigned to someone for a specified. Of time
LAFB-2026||my boss's wife at Ben Dutch Schultz his secretary in the 1930s during the time when Schultz headstrong on
LAFB-2027||his way into control of the Harlem numbers business
LAFB-2028||my job now was to ride a bus across the George Washington Bridge where a fellow was waiting for me to hand him a bag of numbers betting slips
LAFB-2029||we never spoke I cross the street and catch the next bus back to Harlem
LAFB-2030||I never knew who that fella was I never knew who picked up the bedding money for the slips that I handled you didn't ask questions in the rackets
LAFB-2031||my boss's wife and Gladys Hampton were the only two women I ever met in Harlem who's business ability I really respected
LAFB-2032||my boss's wife when she had the time and the inclination to talk would tell me many interesting things
LAFB-2033||she would talk to me about the duck show today's about the deals that she had known about graft paid to officials rookie cops and shyster lawyers right on up into the top levels of police and Pieology
LAFB-2034||she knew from personal experience how crime existed only to the degree that the law cooperated with it
LAFB-2035||she showed me how in the country's entire social political and economic structure the criminal the law and the politicians were actually Inseparable partners
LAFB-2036||it was at this time that I change from my old numbers man the one I use since I first working Smalls Paradise he hated to lose a heavy player but he readily understood why I would now want to play with a runner of my own outfit
LAFB-2037||that was how I began placing my bets with West Indian Archie I've mentioned him before one of Harlem's really bad Negroes one of those former Dutch Schultz strong-arm man around Harlem
LAFB-2038||West Indian Archie had finish time in Sing Sing not long before I came to Harlem
LAFB-2040||he was able to file all the numbers in his head and write them down for the banker only when he turned in his money this made him the ideal Runner because cops could never catch him with any betting slips
LAFB-2041||I've often reflected upon such black veteran numbers man as West Indian Archie
LAFB-2042||if they had lived in another kind of society their exceptional mathematical talents might have been better used but they were black
LAFB-2043||anyway it was status just to be known as a client of West Indian arches because he handled only sizable Bettors
LAFB-2044||you also required integrity and Sound Credit
LAFB-2045||it wasn't necessary that you pay as you played Euchre
LAFB-2046||a West Indian what you buy the week he always carried a couple of thousand dollars on him his own money
LAFB-2047||if a client came up to him and said he'd hit for some moderate amount say a $0.50 or $1 combination
LAFB-2048||West Indian Archie with peel-off the 3 or $600 and later get his money back from the banker
LAFB-2050||the six-month finally ended for my boss and his wife they are done well
LAFB-2051||the Run has got nice tips and promptly was snatched up by other bankers
LAFB-2052||I continued working for my boss and his wife and a gambling house they open
LAFB-2053||a harlem Madame I come to know through having done a friend of hers of favor introduced me to a
LAFB-2054||facet of the Harlem Night world something which the riot head only interrupted
LAFB-2055||it was the world we're behind locked doors Negroes catered to moneyed white people's weird sexual tastes
LAFB-2056||the Whiteside known love to rub shoulders publicly with black folks in the after-hours clubs and speakeasies
LAFB-2057||bees on the other hand were whites who did not want it known that they had been anywhere near Harlem
LAFB-2058||the riot had made these exclusive white customers nervous
LAFB-2059||they're slipping into and about Harlem hadn't been so noticeable when other whites were also around
LAFB-2060||but now they would be conspicuous they also feared the recently aroused anger of Harlem Negroes
LAFB-2061||so the Madame was safeguarding her growing operation by offering me a Steelers job
LAFB-2062||during the war it was extremely difficult to get a telephone
LAFB-2063||one day The Madame told me to stay at my apartment the next morning
LAFB-2064||she talked to somebody I don't know who it was but before the next noon I dialed the Madam for my own telephone unlisted
LAFB-2065||this Madame was a specialist in her field if her own girls could not or would not accommodate a customer she would send me to another place
LAFB-2066||usually an apartment somewhere else in Harlem where they requested specialty was done
LAFB-2067||my post for picking up the customers was right outside the Astor hotel that always busy northwest corner of 45th Street and Broadway
LAFB-2068||watching the moving traffic I was soon able to spot the taxi car or limousine even before it slowed down
LAFB-2069||with the anxious white faces peering out for the tall reddish brown complexion negro wearing a dark suit a raincoat with a white flower in his lapel
LAFB-2071||we would get into another cab driven by a black man and I give him the right address
LAFB-2073||with tips which were often heavy sometimes I would make over $100 a night steering up to 10 customers in a party to cm
LAFB-2074||thing to do anything to have anything done to them that they wanted
LAFB-2076||Richmond middle-aged and Beyond men well past their Prime these weren't college boys these were their ivy league father's even grandfather's I guess
LAFB-2078||Harlem was they're sending their fleshpot
LAFB-2079||they stole off among taboo black people and took
LAFB-2080||whatever antiseptic important dignified masks they wore in their white world
LAFB-2081||these were men who could afford to spend large amounts of money for two three or four hours indulging a strange appetites
LAFB-2082||but in this black-white Netherworld nobody judged the customers anything they could name anything they could imagine anything they could describe they could do or could have done to them just as long as they paid
LAFB-2083||in the profumo case in England Christine keeler's friend testified that some of her customers wanted to be with
LAFB-2084||one of my main steers 21 Specialties dress away from the Madam's house
LAFB-2085||was the apartment of a big cold black girl strong as an ox with muscles like a duck workers
LAFB-2086||up on anything it generally was the oldest of these white men in their sixties I know some May
LAFB-2088||some of them would pay me extra to come and watch them being beaten
LAFB-2089||that girl greased-up big amazon body all over the look shiny or Unblocker
LAFB-2090||she use small plaited whips she would draw blood
LAFB-2091||and she was making herself a small fortune off these old white men
LAFB-2092||I wouldn't tell all the things I've seen
LAFB-2093||I used to wonder later on when I was in prison what a psychiatrist would make of it all
LAFB-2094||and so many of those men held responsible positions they exercised guidance influence and authority over others
LAFB-2095||in prison later I think too about another thing
LAFB-2096||just about all of those whites specifically expressed as their preference black black the blacker the better
LAFB-2097||The Madam having long since learned this had in her house nothing but the blackest accommodating women she could find
LAFB-2098||in all of my time and Harlem I never saw a white prostitute touched by a white man
LAFB-2099||white girls were in some of the berries Harlem specialty places
LAFB-2100||they would participate in customers most frequent exhibition request asleep black Negro man having a white woman
LAFB-2101||was this the white man wanting the witnesses deepest sexual fear
LAFB-2102||a few times I even had parties that included white women whom the men had brought with them to watch this
LAFB-2103||I never steered any white women other than in these instances brought by their own men or who had been put into contact with me by a white lesbian whom I knew who was another variety
LAFB-2104||specialty Madame this lesbian a beautiful white woman had a male negro stable
LAFB-2105||her vocabulary was all profanity she supplied negro meals.on order to well-to-do white women
LAFB-2106||I'd seen this lesbian then her blonde girlfriend around Harlem drinking and talkin it bars always with young Negroes
LAFB-2107||no one who didn't know would ever guess that the lesbian was recruiting
LAFB-2108||but one night I gave her and her girlfriend some reefers which they said we're the best they'd ever smoke
LAFB-2109||they lived in a hotel downtown and after that now and then they would call me then I would bring them some reefers and we talk
LAFB-2110||she told me how she had accidentally gotten started in her specialty
LAFB-2111||as a harlem habitue she had known Harlem Negroes who like white women
LAFB-2112||her role developed from a pattern of talk she often her
LAFB-2113||from board well-to-do white women where she worked in an East Side Beauty Salon
LAFB-2114||hearing the women complain about sexually inadequate mates she would tell what she'd heard about negro men
LAFB-2115||observing how excited some of the women seemed to become she finally arrange some dates with some of the Harlem negro she knew at her own apartment
LAFB-2116||eventually she rented 3 Midtown Apartments where a woman customer could meet a negro by appointment
LAFB-2117||our customers recommended her service to their friends she quit the beauty salon set up a Messenger Service as an operating front and ran all of her business by telephone
LAFB-2118||she had also noticed the color preference
LAFB-2119||I could never substitute in an emergency she would tell me where the laugh because I was too light
LAFB-2120||she told me that nearly every white woman in her clientele would specify a black one sometimes they would say
LAFB-2121||a real one meaning black no ground Negroes no red negro
LAFB-2122||the lesbian thought of her Messenger Service idea because some of her trade wanted the Negroes to come to their homes at times carefully arranged by telephone
LAFB-2123||these women lived in neighborhoods of Swank Brownstones and exclusive apartment houses with Dorman dressed like admirals
LAFB-2124||but white society never thinks about challenging any negro in a servant role
LAFB-2125||doorman would telephone up in here oh yes send him right up James
LAFB-2126||service elevators with Speedos neatly dress negro messenger boys right up so they could deliver what had been ordered by some of the most privileged white women in Manhattan
LAFB-2127||the irony is that those white women had no more respect for those Negroes than white men have had for the Negro
LAFB-2128||and they have been using since slavery times and intern
LAFB-2129||Negroes have no respect for the whites they get into bed with I know the way I felt about Sofia who still came to New York whenever I called her
LAFB-2130||the West Indian boyfriend of the profumo Scandal Christine Keeler lucky Gordon and his friends must have felt the same way
LAFB-2132||if Gordon told everything goes white girls told him he would give England a new scandal
LAFB-2133||it's no different from what happens in some of America's top most white circles
LAFB-2134||40 years ago I saw them nightly with my own eyes I heard them
LAFB-2135||with my own ears that hypocritical white man will talk about the Negroes low morals
LAFB-2136||but who has the world's lowest morals if not white and not only that but the upper-class whites
LAFB-2137||recently be Tales were published about a group of suburban New York City White House wives and mothers operating as a professional call girl ring
LAFB-2138||in some cases these wives were out prostituting with the agreement even the cooperation of husband's some of whom even waited at home attending the children
LAFB-2139||and the customers to quote a major New York City morning newspaper
LAFB-2140||some sixteen ledgers and books with names of 200 John many important social financial and political figures were seized in the raid Friday night
LAFB-2141||I have also read recently about groups of young white couples
LAFB-2143||early one morning in Harlem at all light negro wearing a hat and with a woman stocking drawn down over his face held up a negro bartender and manager who were counting up the knights receipts
LAFB-2144||like most bars in Harlem Negroes fronted and the Jew really own the place
LAFB-2145||to get a license one had to know somebody in the state liquor Authority and Jews working with Jews seem to have the best sl-a contacts
LAFB-2146||the black manager hired some negro hoodlums to go hunting for the holdup man and the man's description cause them to include me among their suspects
LAFB-2147||about Daybreak that same morning they kicked in the door of my apartment
LAFB-2148||I told him that I didn't know a thing about it that I hadn't had a thing to do with whatever they were talking about
LAFB-2149||I told them I had been out on my hustle steering until maybe 4 in the morning and then I had come straight to my apartment and gone to bed
LAFB-2150||the strong on thugs were bluffing they were trying to flush out the man who have done it they still had other suspects to check out that's all that saved me
LAFB-2151||I put on my clothes and took a taxi and I woke up to people The Madam then Sammy
LAFB-2152||I had some money but the Madam gave me some more and I told Sammy I was going to see my brother filbert in Michigan
LAFB-2153||I gave Sammy the address so that he can let me know when things got straightened out
LAFB-2154||this was the trip to Michigan in the winter time when I put congelen on my head then discovered that the bathroom sinks pipes were frozen
LAFB-2155||to keep the life from burning up my scalp I had to stick my hair
LAFB-2156||into the stool in flush and flush to rent out the stuff
LAFB-2157||a week passed in frigid Michigan before Sami telegram came
LAFB-2158||another red negro had confessed which enabled me to live in Harlem again
LAFB-2159||but I didn't go back into steering I can't remember why I didn't
LAFB-2160||I imagine I must have felt like staying away from hustling for a while going to some of the clubs at night and narcotizing with my friends
LAFB-2161||anyway I just never went back to the madams job
LAFB-2162||it was at about this time too I remember that I began to be sick I had Kohl's all the time it got to be a steady irritation always sniffing and wiping my nose all day all night
LAFB-2163||I stayed so high that I was in a dream world
LAFB-2164||now sometimes I smoked opium with some white friends actors who live downtown and I smoke more refresh than ever before I didn't smoke the usual wouldn't match size sticks of marijuana I was so far gone by now that I smoked it almost by the ounce
LAFB-2165||after a while I worked downtown for a Jew
LAFB-2166||he liked me because of something I had managed to do for him
LAFB-2167||he bought run down restaurants and bars Jaime was his name
LAFB-2168||he would remodel these places then staged a big gallery opening with banners and a spotlight outside
LAFB-2169||the jam-packed busy place with the big Under New Management sign in the window would attract speculators usually other Jews who are around looking for something to invest money in
LAFB-2170||sometimes even in the week of the new opening Jaime would resell at a good profit
LAFB-2171||Jaime really like me and I liked him he loved to talk I love to listen
LAFB-2173||thought of his Jews read
LAFB-2174||I'm a Jew and you're black you would say these Gentiles don't like either one of us if the Jew wasn't smarter than the Gentile he'd get treated worse than your people
LAFB-2175||Jaime paid me good money while I was with him sometimes 200 and $300 a week
LAFB-2176||I would have done anything for Jaime I did do all kinds of things but my main job was transporting bootleg liquor that Jaime supplied usually to those spruced-up bars which he had sold to someone
LAFB-2177||another fellow and I would drive out to Long Island where a big bootleg whiskey outfit operated
LAFB-2178||we take with us cartons of empty bonded whiskey bottles that were saved illegally by the bars we supplied
LAFB-2179||we would buy 5-gallon containers of bootleg funnel it into the bottles then deliver according to Jaime's instructions this or that many crates back to the bars
LAFB-2180||many people claiming they drink only such and such a brand couldn't tell they're only brand from Pure week old Long Island bootleg
LAFB-2181||most ordinary whiskey drinkers are brand chunks like this
LAFB-2182||on the side with Jaime's approval I was myself at that time supplying some lesser quantities of bootleg to reputable Harlem bars as well as to some of the few speakeasies still in Harlem
LAFB-2183||but one weekend on Long Island something happened involving the state liquor Authority
LAFB-2184||one of New York State's biggest recent scandals has been the exposure of wholesale SL a graft and Corruption
LAFB-2185||in the bootleg racket I was involved in someone high up must have been taken for a real pile
LAFB-2186||a rumor about some inside tipsters spread among Jaime in the others
LAFB-2187||one day Jaime didn't show up where he had told me to meet him
LAFB-2188||I never heard from him again but I did hear that he was put in the ocean and I'm
LAFB-2190||it always made me wonder if that bar stickup had really been solved or if the wrong man had confessed under beatings but anyway the past suspicion of me help to revive suspicion of me again
LAFB-2191||pumping Fat Man's Bar on the hill overlooking the Polo Grounds I had just gone into a telephone booth
LAFB-2193||earlier in the afternoon I have collected from West Indian Archie for a 50 Cent combination bet
LAFB-2194||get paid me $300 right out of his pocket
LAFB-2195||I was telephoning Jean Parks Jean was one of the most beautiful women who ever lived in Harlem
LAFB-2196||she wants sang with Sarah Vaughan in the bluebonnets a quartet that sang was Earl Hines
LAFB-2197||for longtime Gene and I had enjoyed a standing friendly deal that we'd go out and celebrate when either of us get the numbers
LAFB-2198||since my last hit Gene had treated me twice and we laughed on the phone glad that now I'd treat her to a night out
LAFB-2199||we arranged to go to a 52nd Street nightclub to hear Billie Holiday who had been on the road and was just back in New York
LAFB-2200||as I hung up I spotted the two-lane tough-looking Paesano's gazing ended me cooped up in the phone booth
LAFB-2201||I didn't need any intuition and I had no gun
LAFB-2202||a cigarette case was the only thing in my pocket
LAFB-2203||I started easing my hand down into my pocket to try bluffing and one of them snapped open the door
LAFB-2204||they were dark olives were they featured Italians I had my hand down into my pocket
LAFB-2205||come on outside will hold Court once said
LAFB-2206||at that moment a cop walk through the front door
LAFB-2207||the two thugs slipped out I never in my life have been so glad to see a cop
LAFB-2208||I was still shaking when I got to the apartment of my friend Sammy the pimp
LAFB-2209||he told me that not long before West Indian Archie had been there looking for me
