BKOB-0||to Michelle my love and life partner
BKOB-3908||this man put me ahead of the curve compared to the other presidential candidates
BKOB-3909||but nonetheless well behind the pace at which events on Wall Street or beginning to spin out of control
BKOB-3910||in the months that followed financial markets saw a flight to safety as lenders and investors moved their money into government back treasury but sharply was printed credit and yang Capital out of any firm that might have significant risk when it came to mortgage-backed securities
BKOB-3911||just about every major financial institution in the world was dangerously exposed
BKOB-3912||having either invested directly in such instruments
BKOB-3913||often taking on debt to finance the best or loan money to firm the B
BKOB-3914||in October 2007 Merrill Lynch 7.9 billion dollars in losses related to mortgages
BKOB-3915||Citigroup warned that its bigger might be closer to 11 billion dollars
BKOB-3916||in March 2008 the share price of investment firm bear Stern drop from $57 to $30 in a single day forcing the FED to engineering fire-sale purchase by JPMorgan Chase
BKOB-3917||no one could say if or when wall Street's three remaining major investment Banks Goldman Sachs Morgan Stanley and especially Lehman Brothers all of which were hemorrhaging Capital at alarming rates
BKOB-3918||would face a similar Reckoning for the public it was tempting to see all this as a righteous comeuppance for greedy bankers and hedge-fund managers
BKOB-3919||Tawana standby as firms failed and Executives who drawn
BKOB-3920||20 million-dollar bonuses were forced to sell off their Yachts jets in homes in the Hamptons
BKOB-3921||I'd encountered enough Wall Street executive personally to know that many though not all lived up to the stereotype
BKOB-3922||Smogon entitled conspicuous in their consumption and indifferent to the impact their decisions might have on everyone else
BKOB-3923||the problem was that in the midst of a financial panic in a modern capitalist economy
BKOB-3924||it was impossible to isolate good businesses from bad or administer pain only to The Reckless or unscrupulous
BKOB-3925||like it or not everybody and everything was connect
BKOB-3926||by Spring the United States had entered a full-blown recession
BKOB-3927||the housing bubble and easy money had described the whole host of structural weaknesses me American economy for a full decade
BKOB-3928||but with the Falls now spiking credit tightening the stock market declining and housing prices plummet
BKOB-3929||businesses large and small decided to retrench
BKOB-3930||they laid off workers and cancelled orders they deferred investment in new plants and it systems
BKOB-3931||and if people would work for those companies lost their jobs or saw the equity in their homes or 401K plans dwindle or fell behind on their credit card payments and were forced to spend down their savings they to retrench
BKOB-3932||they put off new car purchases stopped eating out and postpone vacation
BKOB-3933||and with declining sales businesses cut payrolls in spending even more
BKOB-3934||it was a classic cycle of Contracting demand
BKOB-3935||one that worsen with each successive month March as data showed that one in 11 mortgages was past due or in foreclosure and that Auto Sales Head crater
BKOB-3936||it may unemployment Rosa half-point the largest monthly increase in 20 years
BKOB-3937||it'll become President Bush's problem
BKOB-3938||at the urging of his economic advisers bipartisan agreement from Congress on it 168 billion-dollar economic rescue package providing tax breaks and rebates meant to stimulate consumer spending and give the economy a joke
BKOB-3939||any effect it may have had was dampened by high gas prices that summer and the crisis only grew worse
BKOB-3940||in July new stations across the country broadcast images of desperate customers lined up to pull their money out of IndyMac a California Bank the promptly went belly-up
BKOB-3941||the much larger Wachovia survived only after secretary Paulson was able to invoke a quote systemic risk exception to prevent its failure
BKOB-3942||Congressman while authorized 200 billion dollars to prevent Fannie Mae and Freddie Mac the true privately-owned behemoths that together guaranteed nearly 90 percent of America's mortgages from going under
BKOB-3943||both were placed in government conservatorship through the newly-formed federal Housing Finance Agency
BKOB-3944||yet even with an intervention of that magnitude
BKOB-3945||it still felt as if the markets were teetering on the edge of collapse
BKOB-3946||is that the authorities or shoveling gravel into a crack in the earth that just kept on growing
BKOB-3947||and for the moment at least the government had run out of G
BKOB-3948||which is why Hank Paulson the US Treasury secretary was calling me
BKOB-3949||I first met Poston when he was the CEO of Goldman Sachs
BKOB-3950||call baldon spectacle with an awkward but unpretentious Manor gets spent most of our time talking about his passion for Environmental Protection
BKOB-3951||what is voice typically horse Mouse founded thoroughly Freight
BKOB-3952||Batman fighting both exhaustion and fear
BKOB-3953||that morning Monday September 15th Lehman Brothers a 639 billion dollar company had announced it was filing for bankruptcy
BKOB-3954||the fact of the Treasury Department had not intervened to prevent
BKOB-3955||what would be the largest bankruptcy filing in history
BKOB-3956||signaled that we were entering a new phase in the crisis
BKOB-3957||we can expect a very bad Market reaction he said
BKOB-3958||the situation is likely to get worse before it gets better
BKOB-3959||Explain why both Treasury and the fed and determine Lehman was too weak to prop up
BKOB-3960||and that no other financial institution with one to take on its liabilities
BKOB-3961||President Bush it authorized Paulson brief both me and John McCain because further emergency action would need bipartisan political support
BKOB-3962||Boston hope that both campaigns would respect and respond appropriately to the severity of the situation
BKOB-3963||you didn't need a pollster to know the person was right to be worried about the politics
BKOB-3964||we were seven weeks from a national election as the public learned more about the enormity of the crisis
BKOB-3965||the idea of spending billions of taxpayer dollars to bail out Reckless Banks would surely rank in popularity somewhere between
BKOB-3966||bad case of the shingles and Osama bin Laden
BKOB-3967||the following day Paulson treasury would prevent catastrophes at Goldman Sachs and Morgan Stanley by redefining both institutions in a way that allowed them to create commercial Banks eligible for federal protection
BKOB-3968||spell even blue-chip companies with Sterling ratings were suddenly unable to borrow the money they needed to finance day-to-day operations and money-market funds previously considered as safe and liquid as cash we're now starting to buckle
BKOB-3969||for Democrats it would be easy enough to lay the blame for the Fiasco at the foot of the administration
BKOB-3970||but the truth was that plenty of congressional Democrats and applauded Rising homeownership rates through the subprime Boom
BKOB-3971||Republicans who are up for re-election and already saddled with an unpopular president and a tanking economy
BKOB-3972||the prospect of voting for more Wall Street bailouts look like an invitation to dig their own Graves
BKOB-3973||if you need to take further steps I told Boston I'm guessing your biggest problem will come from your side not mine
BKOB-3974||already met Republican administrations interventions in the banking sector violated the core conservative principles of limited government
BKOB-3975||accuse the Federal Reserve of overstepping its mandate
BKOB-3976||and some had the gall to criticize government Regulators for failing to catch the problem in the subprime market sooner they themselves have spent the past eight years working the weekend every Financial regulation they can find
BKOB-3977||John McCain public comments up to that point had been muted then I heard Paulson to keep in close contact with my competitor as the situation develops
BKOB-3978||is the Republican nominee McCain didn't have the luxury of distancing himself from Bush
BKOB-3979||is bouta continue most of Bush's economic policies in fact it always been one of his greatest vulnerability
BKOB-3980||during the primaries he confessed he didn't know much about economic policy
BKOB-3981||more recently reinforced the impression that he was out of touch by miniature reporter that he wasn't sure how many homes he owned
BKOB-3982||the answer was eight based on what Austin was telling me became filetico problems were about to get worse
BKOB-3983||I've no doubt his political advisers would urge him to improve his standing with voters by distancing himself from any Financial rescue efforts did ministration tried to make
BKOB-3984||if McCain chose not to be supportive I knew I'd be under Fierce pressure from Democrats and perhaps my own staff to follow suit
BKOB-3985||and yet cuz I wrapped up a conversation with Paulson
BKOB-3986||I knew that it didn't matter what McCain dip with the stakes this high I would do whatever was necessary regardless of the politics to help me Administration stabilize the situation
BKOB-3987||I wanted to be president I told myself I needed to act like one
BKOB-3988||have expected John McCain had difficulty coming up with a coherent response to the rap
BKOB-3989||unfolding events on the day of the announcement in an ill-timed attempt to reassure the public she appeared to the televised rally and declare the quote the fundamentals of the economy are strong
BKOB-3990||my campaign absolutely roasted important Senator what economy are you talking about I asked
BKOB-3991||speaking later in the day at a rally of my own in the ensuing days the news of Lehman's bankruptcy sent financial markets into a full-blown pad
BKOB-3992||stocks plunged Merrill Lynch had already negotiated desperation sale to Bank of America
BKOB-3994||AIG with the poster child for quote too-big-to-fail sew in
BKOB-3995||Global Financial networks that its collapse would cause a Cascade of bank failures
BKOB-3996||and even after the government intervened it continued to hammer
BKOB-3998||establishing a new emergency fund of 700 billion dollars
BKOB-3999||that was the price they estimated to Stave off Armageddon
BKOB-4000||perhaps to compensate for his earlier blunder McCain announced his opposition to the government bailout of AIG
BKOB-4001||a day later he reversed himself his position on tarp remains unclear opposing bailouts in theory but maybe supporting this one in practice
BKOB-4002||without getting and zagging our campaign had no problem time of Crisis to a bush McCain economic agenda the prioritize the wealthy and Powerful over the middle-class arguing that McCain was unprepared to steer the country through tough Economic Times
BKOB-4003||nevertheless I did my best to stay true to the commitment I made the pulse
BKOB-4004||instructing my team to refrain from making public comments that might jeopardize the Bush Administration chances of getting Congress to approve a rescue package
BKOB-4005||along with our in-house Beacon Ahmad visors austan goolsbee and Jason Furman I've begun Consulting with an ad hoc Advisory Group that included former Federal Reserve chairman Paul volcker
BKOB-4006||Harlequin treasury secretary Larry Summers and legendary investor Warren Buffett
BKOB-4007||all hit live through major financial crisis before and he's confirmed for this one was of a different order of magnitude
BKOB-4008||without Swift action they told me we Face the very real possibility of economic collapse
BKOB-4009||Millions more Americans losing their homes and their life savings along with depression-era levels of unemployment
BKOB-4010||the briefings proved invaluable in helping me understand the nuts and bolts of the crisis and evaluate the various responses being proposed
BKOB-4011||they also scared the heck out of me by the time I travel to Tampa
BKOB-4012||where I'd be preparing for my first debate with McKay
BKOB-4013||I felt confident that on the substance of the economy at least
BKOB-4014||I knew what I was talking about and I increasingly dreaded what a prolonged crisis might mean for families all across America
BKOB-4015||even without the distraction of looming crisis I probably would have looked forward to being holed up in a hotel for three days of debate prep
BKOB-4016||but given my inconsistency during the primary debates I knew I needed to work
BKOB-4017||fortunately our team recruited a pair of lawyers and political veterans Ron klain and Tom donnellan would served in
BKOB-4018||prepping candidates like Al Gore Bill Clinton and John Kerry
BKOB-4019||the moment I arrived they gave me a detailed breakdown of the debate format and an outline of every conceivable question that might be at
BKOB-4020||along with ax + Communications advisor needed done and the rest of the team they drilled me for hours on the precise answers they wanted to hear
BKOB-4021||down for the last word or turn of phrase in the old Biltmore Hotel where we had set up shop Ron and Tom had insisted on building an exact replica of the debate stage
BKOB-4022||that first night they subjected me to a full 90-minute mock debate
BKOB-4023||taking apart every aspect my performance from taste to posture Tutone
BKOB-4024||it was exhausting but undeniably used
BKOB-4025||by the time my head hit the pillow I was certain I would be dreaming in talking points
BKOB-4026||despite their best efforts though news from outside the claim donnellan bubble kept diverting my attention
BKOB-4027||in between sessions I got updates on Market developments and on the prospects for the administration tarp legislation
BKOB-4029||with the press and the public howling at the price tag and representatives from both sides of the aisle balking at the lack of detail
BKOB-4030||Pietro's told me the administration wasn't even close to having the most needed for Passage
BKOB-4031||Harry Reid and house Speaker Nancy Pelosi affirm this when I spoke to the my phone
BKOB-4032||both were hard-nosed politicians not averse to bashing Republicans in order to solidify their majorities when the opportunity arose
BKOB-4033||but if I would see repeatedly over the next few years
BKOB-4034||both Harry and Matthew were willing sometimes after a whole lot of grouting to set politics aside when issue of vital importance was a steak
BKOB-4035||they were looking to me for direction I shared my honest assessment
BKOB-4036||with some conditions attached and sure it wasn't just the Wall Street giveaway
BKOB-4037||Democrats needed to help get it passed and to their credit the 2L said they'd managed to drag in their respective caucuses and provide votes for passage if Bush and GOP leaders delivered sufficient Republican votes as well
BKOB-4038||I knew that was a hell of a big are unpopular legislation and election fast approaching and neither side wanting to hand ammunition to the other it seems a Surefire recipe for gridlock
BKOB-4039||to break the impasse I started seriously considering a quixotic idea proposed by my friend Tom Coburn the Republican senator from Oklahoma
BKOB-4040||the McKinley I put out a joint statement advocating the Congress pass some
BKOB-4041||if both of us played our hands on the bloody knife Coburn reason
BKOB-4042||we could take the politics out of the vote and allow a nervous Congress to make a reasonable decision without obsessing over its election day impact
BKOB-4043||I had no idea how McCain would respond to this
BKOB-4044||they could come off as gimmicky but knowing that unless a rescue Package cast
BKOB-4045||we'd be looking at what could turn into a full-blown depression I figured it was worth a shot
BKOB-4046||McCain live spoke by phone as I wrote back to my hotel after a short campaign of a
BKOB-4047||his voice was soft polite precautious
BKOB-4048||he was open to a possible joint statement he said
BKOB-4049||but had been mulling over a different idea how about if we both suspended our campaigns
BKOB-4050||what if we postponed the debate headed back to Washington and waited until the rescue package pass
BKOB-4051||I couldn't imagine how bringing the presidential campaign circus to watch
BKOB-4052||would be in any way helpful I was encouraged by McCain's apparent interest in Rising above the day-to-day scrum and getting a bill passed
BKOB-4053||careful not to sound dismissive I suggested and John agreed that our campaign managers work up a range of options for our consideration and then we check back in with each other in an hour or two
BKOB-4054||that's progress I thought hanging up and then dial place and instructed them to call Rick Davis McCain's campaign manager to follow up
BKOB-4055||minutes later I arrived at the hotel and found Pluff scowling having just hung up with Davis
BKOB-4056||McClain's about to hold press conference he said announcing his plan is suspended campaign and fly back to Washington
BKOB-4057||what I talked to him ten minutes ago
BKOB-4058||yeah well it wasn't on the level Davis McCain won't even show at the debate unless the rescue package gets done in the next 72 hours
BKOB-4059||he says McCain's going to publicly call on you to join him in suspending campaigning sense get this Senator McCain thinks politics should take a backseat right now
BKOB-4060||sped up the words looking like 12 hit somebody
BKOB-4061||a few minutes later we watched McCain make his announcement his voice dripping with concern
BKOB-4062||it was hard not to feel both angry and disappointed
BKOB-4063||the charitable view was the John reacted out of mistrust afraid that my suggestion of a joint statement was an attempt to one-up him he decided to one-up me first
BKOB-4064||Electro edible view shared unanimously by my staff was that a desperate campaign was embarking on yet another poorly thought-out political stunt
BKOB-4065||stunt or not a whole passel of Washington political insiders considered McCain's move a masterstroke
BKOB-4066||as soon as he was off the air we were bombarded with anxious messages from democratic consultant and Beltway supporters saying we needed to suspend the camp
BKOB-4067||or risk feeding The High Ground at a moment of National Emergency
BKOB-4068||but by both temperament and experience we weren't inclined to follow the conventional with
BKOB-4069||not only did I think that the two of us posturing and Washington would lessen rather than improve the chances of getting tar pass
BKOB-4070||I felt that the financial crisis made it that much more important for the debate to take place
BKOB-4071||The Boulders could hear directly from the two men buying to lead them through uncharted waters
BKOB-4072||still projecting McCain's call felt like a huge Gamble
BKOB-4073||but my team gathered around me I asked if anyone disagreed with my assessment
BKOB-4074||without hesitation they all said no I smile
BKOB-4075||okay then an hour and a half later I helped my own press conference to say I would not be suspending my campaign
BKOB-4076||I pointed out that I was already in regular consultation with Paulson and Congressional leaders and then I was available to fly to Washington and Ramona
BKOB-4077||notice if needed I been at lived aligned that would dominate the news coverage
BKOB-4078||presidents are going to have to deal with more than one thing at a time
BKOB-4079||we have no idea how voters would respond but we all felt pretty good about my decision
BKOB-4080||sat down to start gaming out next step though
BKOB-4081||pumpkin email from Josh Bolton Bush's Chief of Staff asking the recall
BKOB-4082||he darted out of the room when he returned a few minutes later if brown head beeping
BKOB-4083||apparently mikenas Bush to host a meeting tomorrow at the White House with you McCain and the Congressional leaders to try to hash out an agreement on tar
BKOB-4084||what should be calling you any minute to invite you to the festivities
BKOB-4085||Foster Gazette this is absolutely bulshit he said
BKOB-4086||although it's not large the cabinet room of the White House's stately with a rich red carpet adorned with gold stars and cream-colored
BKOB-4087||balls with eagle shape sconces on the north side of the room marble busts of Washington and Franklin
BKOB-4088||sculpted in the classical style gave out from ducks on either side of a fireplace
BKOB-4089||at the center of the room sits an oval table made of gleaming mahogany
BKOB-4090||and surrounded by 20 heavy leather chairs
BKOB-4091||small breastplate affixed to the back of each one signifying where the president vice president and various cabinet membership
BKOB-4092||place for sober deliberation built to accommodate the weight of History
BKOB-4093||on most days like streams into the room through broad French doors that look out onto the Rose Garden
BKOB-4094||but on September 25th as I took my seat for the meeting worship called at McCain's Bahasa
BKOB-4095||sky was overcast around the tables that the president vice president Cheney McCain and me along with Hank Paulson Nancy Pelosi Harry Reid the Republican
BKOB-4096||John Boehner and Mitch McConnell plus the chairpersons from ranking members the relevant committees
BKOB-4097||Ford White House and Congressional staffers line the walls taking notes and leaving through thick briefing books
BKOB-4098||no one look like they want to be there the president certainly hadn't found it enthusiastically we spoken on the phone to previous day
BKOB-4099||I just agreed with just about every one of George W Bush's major policy decisions but I'd come to like the man finding him to be straightforward disarming and self-deprecating in this humor
BKOB-4100||I Can't Tell You Why McCain thinks this is a good idea he said sounding almost apologetic
BKOB-4101||acknowledge that Hank Paulson and I were already communicating a couple of times daily and expressed appreciation for my behind-the-scenes help with Congressional Democrats
BKOB-4102||if I were you watching the last place I'd want to be
BKOB-4103||but McCain asked and I can't say no
BKOB-4104||hopefully we can keep it short only later
BKOB-4105||learn the Paulson and the rest of Bush's team had been opposed to the meeting and for good reason
BKOB-4106||over the previous several days Congressional leaders had begun to narrow their differences on the tarp legislation
BKOB-4107||that very morning there been reports of a tentative agreement although within a few hours House Republicans pulled back from a
BKOB-4108||with negotiations at such a delicate stage wishes advisors rightly felted inserting me and McCain in the process would likely hinder more than help
BKOB-4109||Bush bowhead overrule this team and I couldn't blame
BKOB-4110||given the increasing resistance to tarp within his own party
BKOB-4111||he could hardly afford to have the Republican nominee go south on
BKOB-4112||fill the entire proceeding had the air of an elaborate charade
BKOB-4113||looking at the dower faces around the room I understood we were gathered not for a substantiv negotiation but rather a presidential effort to placate one-man
BKOB-4114||the president opened with a brief appeal for Unity before
BKOB-4115||the meeting over to Paulson who updated current market conditions and explain how tarp funds would be used to buy a Bad Mortgages toxic assets as they were called from the bank's thereby showing up balance sheets and restoring Market confidence
BKOB-4116||Hank and Ben think this plan is going to work Bush that after their finish
BKOB-4117||then that's what I'm for in accordance with protocol the president next called on speaker plug
BKOB-4118||rather than take the floor herself though Nancy politely informed the president that the Democrats would have me speak first on their behalf
BKOB-4119||it had been Harriet Nancy's idea that I serve as our Point person and I was grateful for
BKOB-4120||not only did it ensure that I wouldn't be outflanked by McCain during the deliberation
BKOB-4121||but it's signal to my fellow Democrats saw their political fortunes is wrapped up with mine
BKOB-4122||the move seemed to catch the Republicans by surprise and I couldn't help noticing the president give Nancy wanted to tablets merch
BKOB-4123||shrewd politician he recognized death maneuver when he saw one before not in my way
BKOB-4124||spoke about the nature of the crisis the details be emerging legislation and the remaining points on oversight executive compensation and homeowner relief the Democrats believe still needed to be addressed
BKOB-4125||noting the most Senator McCain and I have publicly pledged not to play politics with the financial rescue app
BKOB-4126||I told the president the Democrats would deliver their share of the votes needed for Passage
BKOB-4127||but I warned that if there was any truth to reports that some Republican leaders were backing away and insisting on starting from scratch with a whole new plan it would inevitably bog down negotiations and the consequences would be severe
BKOB-4128||moisture under McCain and said John says broadcast Chesapeake I think it's only fair that I let you go next
BKOB-4129||everyone looked at McCain whose jaw Titan
BKOB-4130||he appeared to be on the verge of saying something thought better of it
BKOB-4131||and briefly fidgeted in his chair I think I'll just wait for my turn she said final
BKOB-4132||there are moments in an election battle as in wife
BKOB-4133||when all the possible Pathways save one or suddenly closed
BKOB-4134||when what felt like a wide distribution of probable outcomes Narrows to the NFL
BKOB-4135||this was one of those moments were selected McCain with a raised eyebrow
BKOB-4136||shrug and called on John Boehner Boehner said he wasn't talking about starting from scratch but just wanted some modification
BKOB-4137||including a plan he had trouble describing which involved the federal government and Shrink Banks losses rather than purchasing their assets
BKOB-4138||I have pulsing if you'd looked at this Republican insurance proposal and determine whether it would work
BKOB-4139||awesome said firmly that he had and it would
BKOB-4140||Richard Shelby the ranking member on the Senate Banking Committee
BKOB-4141||elected to say she's been told by a number of Economist the tarp with work he suggested that the White House give Congress more time to consider all its options
BKOB-4142||what kind of offense that the country didn't have more time
BKOB-4143||at the discussion war on it became increasingly apparent that none of the Republican leaders were familiar with the actual contents of the latest version of the tarp legislation or for that matter the nature of their own proposed changes
BKOB-4144||they were simply trying to find a way to avoid taking a tough vote
BKOB-4145||after listening to several minutes wrangling back-and-forth
BKOB-4146||I jumped in again mr. president I said I'd still like to hear what Senator McCain has to say
BKOB-4147||once again everyone turned to McCain this time he started a small note card in his hand
BKOB-4148||muttered something I couldn't make out and then served up maybe two or three minutes of bromides about how talk seem to be making progress how it was important to give Boehner Room to Move It caucus dies
BKOB-4149||and that was it no plan
BKOB-4150||no strategy not even a smidgen of a suggestion as to how the different positions might be bridged
BKOB-4151||the room felt silent McCain step down as no card his eyes downcast
BKOB-4152||like a batter who knows he's just with that the play
BKOB-4153||I almost felt sorry for him for his team to have encouraged such a high-stakes move and then Center candidate into the meeting unprepared was political malpractice
BKOB-4154||when reporters got wind of his performance that day the coverage would not be kind
BKOB-4155||the more immediate effect of John's weirdness low with the set off a cabinet room 340
BKOB-4156||Nancy and Spencer bachus the ranking Republican on the house Financial Services committee started arguing over who deserve credit for the stronger attack their Protections in the most recent version of the legislation
BKOB-4157||Barney Frank the top and quick-witted Democrat from Massachusetts
BKOB-4158||it stopped and it probably worked harder than anyone to help Paulsen get tarp across the Finish Line started taunting the Republicans yelling repeatedly what's your plan what's your plan
BKOB-4159||faces weather voices Rose people talk over one another
BKOB-4160||and all the while McCain remain silent
BKOB-4161||it got so bad that finally President Bush Road twists
BKOB-4162||I'm obviously lost control this meeting he said we're finished
BKOB-4163||with that he wheeled around and charged out the South.
BKOB-4164||the entire scene left me stunned as McCain and the Republican leadership quickly filed out of the room
BKOB-4165||I told Nancy Harry and the rest of the Democrats into a huddle in the adjacent Roosevelt room
BKOB-4166||they were in various states of vegetation and because we already decided I wouldn't be getting any post-meeting comments to reporters
BKOB-4167||I want to make sure that none of them said anything that might make matters worse
BKOB-4168||we were discussing ways that they could constructively summarize the meeting went alternator
BKOB-4169||looking absolutely shell-shocked away as if he were an unpopular kid on the playground
BKOB-4170||a few even jeered Nancy Balsam said powering next to the speaker
BKOB-4171||please and then in an inspired and so much bad blend of Schumer in desperation he lowered his six-foot-five sixty-two-year-old frame onto one knee
BKOB-4172||I'm begging you don't blow this up the speaker allowed a quick smile
BKOB-4173||Hank I didn't know you were catholic she said
BKOB-4174||Justice quickly her smile evaporated and she had it currently
BKOB-4175||you may not have noticed but we're not the ones trying to blow things up
BKOB-4176||how to get pulse from credit getting back to his feet he stood there for several more minutes and let the Democrats been
BKOB-4177||by the time a accident forpress availability everybody calm down and agreed to try to put the best spin they put on the meat
BKOB-4178||and can I make plans to talk later that night after leaving the White House I put in a call to Plus
BKOB-4179||how to go I thought for Mom
BKOB-4180||it went fine for us I said based on what I just saw we better win this thing or the country is screwed
BKOB-4181||I'm not by Nature a superstitious person as a kid I didn't have a lucky number or on the rabbits
BKOB-4182||I don't believe in ghosts or leprechauns and well I might have made a wish when blowing out birthday candles or tossing a penny into a fountain
BKOB-4183||my mother is always been quick to remind me that there's a direct link between doing your work and having your wishes come true
BKOB-4184||over the course of the campaign though I found myself making a few concessions to the spirit world
BKOB-4185||one day in Iowa for instance a Burly bearded guy and buy
BKOB-4186||covered with tattoos up to me after an event and shove something in my hand
BKOB-4187||it was his lucky metal poker chip explain
BKOB-4188||never fail them in Vegas he wanted me to have
BKOB-4189||a few weeks later the young blind girl in New Hampshire reached out to give me a small heart made of pink glass
BKOB-4190||in Ohio it was a silver cross from a nun with a irrepressible smile in the face is grooved as a peach pit
BKOB-4191||assortment of charms grew steadily a miniature Buddha
BKOB-4192||Ohio buckeye a laminated four leaf clover
BKOB-4193||honey bronze likeness of Hanuman the monkey god
BKOB-4194||all manner of angels rosary beads crystals and rocks
BKOB-4195||each morning I made a habit of choosing five or six of them and putting them in my pocket
BKOB-4196||have consciously keeping track which ones I had with me on a particularly good day
BKOB-4197||if my cash small Treasures then guarantee that the universe
BKOB-4198||Hilton my favor I figured they didn't hurt
BKOB-4199||I felt comforted anytime I turn them over in my hand or felt their light jangling as I moved from event to event
BKOB-4200||each charm was a tactile reminder of all the people I've met
BKOB-4201||the faint but steady transmission of their hopes and expectations
BKOB-4202||I also became particular by my debate day rituals
BKOB-4203||good morning was always devoted to going over strategy and keep points the early afternoon to some light campaign
BKOB-4204||I wanted to schedule clear
BKOB-4205||to shed excess adrenaline I get in a quick workout
BKOB-4206||been 90 minutes before heading to the venue I'd shave and take a long hot shower
BKOB-4207||before putting on the new shirt white and tie the war read The Wretched hung in the hotel closet beside my freshly pressed blue suit
BKOB-4208||for dinner comfort food steak cooked medium well
BKOB-4209||roasted or mashed potatoes steamed broccoli
BKOB-4210||a half hour or so ahead of the debate my glancing at my notes
BKOB-4211||I'd listen to music delivered through earbuds are a small portable speaker
BKOB-4212||eventually I became a tad compulsive about hearing certain songs
BKOB-4213||first it was a handful of jazz Classics Miles Davis is Freddie freeloader
BKOB-4214||John Coltrane My Favorite Things Frank Sinatra Luck Be A Lady
BKOB-4215||41 primary debate I must have played that last track two or three times in a row clearly indicating a lack of confidence in my preparation
BKOB-4216||ultimately it was wrapped but got my head in the right place
BKOB-4217||two songs especially Jay-Z my first song and Eminem Lose Yourself
BKOB-4218||both were about Define the odds and putting it all on the line
BKOB-4219||look if you had one shot or one opportunity to seize everything you ever wanted in one moment would you capture
BKOB-4220||or just let it slip out spell to spend something out of nothing
BKOB-4221||getting by on wet fossil and fear disguises bravado
BKOB-4222||the lyrics tell Taylor to my early Underdog status
BKOB-4223||as I sat alone in the back of the Secret Service man on the way to a debate side
BKOB-4224||and my crisp uniform and dimpled pie-eyed not my head to the beat of those songs feeling with the private Rebellion
BKOB-4225||a connection to something greater and more real than all the fussing deference that messed around with me
BKOB-4226||it was way to cut through the artifice and remember who I was
BKOB-4227||before my first debate with John McCain in late September my follow the ritual to a T
BKOB-4228||I ate my steak listen to my music
BKOB-4229||the weight of the charms in my pocket cuz I walked onto the stage
BKOB-4230||frankly I didn't mean a lot a lot
BKOB-4231||by the time I arrived on the campus of the University of Mississippi
BKOB-4232||place where less than fifty years earlier a black man named James Meredith had been forced to obtain a supreme court order and the protection of 500
BKOB-4233||federal law enforcement personnel and played with 10
BKOB-4234||I was no longer the underdog the race was not mine to lose
BKOB-4235||expected the Press covering the Fiasco at the White House meeting had been merciless to McKay
BKOB-4236||the problems only grew worse when the campaign announced just a few hours before the debate
BKOB-4237||because of the quote progress that resulted from his intervention in Congressional negotiations around Park
BKOB-4238||it would lift the self-imposed suspension of his campaign and participate after all
BKOB-4239||we plan to show up regardless even if it meant I had a nice televised one-on-one conversation with the moderator Jim Lehrer
BKOB-4240||cornerstar McCain's latest move for what it was a hasty Retreat after a political stunt that is backfire
BKOB-4241||the debate itself offered few surprises McCain appeared relaxed onstage patching together line from his campaign speeches and standard Republican Orthodoxy delivered with ample dose
BKOB-4242||humor and charm still spotty knowledge of the details the financial crisis and its lack of answers for what he planned to do about it became more and more evident as we continued to Jeff
BKOB-4243||meanwhile I was on my game no doubt my training regimen of the hands of drill sergeant clean and Don wanted paid off
BKOB-4244||as much as I instinctively resisted canned answers to questions there was no denying but both television audiences and the pundits found my more practice responses compelling
BKOB-4245||and preparation kept me from drowning on too long
BKOB-4246||more than that though my mood for the debate with McCain was noticeably different
BKOB-4247||I'm like my debate with Hillary and the rest of the democratic field
BKOB-4248||what's the often felt like an elaborate game splitting hairs and notching style points
BKOB-4249||differences between me and John McCain were real and deep
BKOB-4250||steaks in choosing one of us over the other would reverberate for decades with consequences for Millions
BKOB-4251||confident my command of The Facts of why my ideas had a better chance than Johnson meeting the challenges the company not faced
BKOB-4252||energized by our exchanges and found myself almost enjoying our 90 minutes on stage
BKOB-4253||spent post-debate surveys of undecided voters showed me winning by a wide margin
BKOB-4254||bound 55 and probably a few private sighs of relief
BKOB-4255||wish I was happy but more subdued she hated going to debates
BKOB-4256||as she described as having to sit there looking Serene no matter what was said about me or how badly I screwed up for stomach-churning was like getting a tooth drilled without Novocain
BKOB-4257||in fact with her out of fear that it might jinx the outcome
BKOB-4258||or because of her own ambivalence about the prospect of my winning
BKOB-4259||generally avoided talking to me about the horse race aspects of the campaign
BKOB-4260||which is why I was surprised when in bed later that
BKOB-4262||you're going to win aren't you I can still happen but yeah
BKOB-4263||are pretty good chance I will I looked at my wife
BKOB-4264||her face was pensive as if she were working out of puzzle in her mind
BKOB-4265||finally she nodded or self and returned my gaze you're going to win she said Softly
BKOB-4266||kiss me on the cheek turn off the bedside lamp
BKOB-4267||I pulled the covers over her shoulders on September 29th free days after the debate adult mess
BKOB-4268||Bush's tarp legislation felt 13 votes short of passage in the House of Representatives
BKOB-4269||two-thirds of Democrats voting in support of them than two-thirds of Republicans voting against
BKOB-4270||Dow Jones immediately sustained a terrifying 778 Point drop
BKOB-4271||and after a pounding in the press and no doubt aflutter calls from constituents watching the retirement accounts evaporate
BKOB-4272||enough members of both parties flipped to pass animated version of the rescue package several days later
BKOB-4273||Raven relieved I called Hank Paulson to congratulate him for his efforts
BKOB-4274||the Walter Passage would prove to be critical and Save in the financial system
